Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,-Infinity
B2,3,13
A2,2,13
B3,3,-Infinity
B2,3,166
B3,3,166
B3,3,140
B3,3,166
B4,3,278
B3,3,278
B5,3,278
B3,3,278
A2,2,278
B4,3,-Infinity
B2,3,166
B4,3,166
B3,3,278
B4,3,278
B4,3,-Infinity
B2,3,184
B4,3,184
B3,3,295
B4,3,295
B4,3,143
B4,3,295
B5,3,296
B4,3,296
B4,3,296
B5,3,278
B4,3,296
A2,2,296
B5,3,-Infinity
B2,3,166
B5,3,166
B3,3,278
B5,3,278
B4,3,278
B5,3,278
B5,3,141
B5,3,278
A2,2,296
B2,1,296
A3,2,-Infinity
B2,3,13
A3,2,13
B3,3,-Infinity
B2,3,166
B3,3,166
B3,3,140
B3,3,166
B4,3,278
B3,3,278
B5,3,278
B3,3,278
A3,2,278
B4,3,124
A3,2,278
B5,3,-Infinity
B2,3,166
B5,3,166
B3,3,278
B5,3,278
B4,3,278
B5,3,278
B5,3,141
B5,3,278
A3,2,278
B2,1,278
A4,2,-Infinity
B2,3,13
A4,2,13
B3,3,124
A4,2,124
B4,3,124
A4,2,124
B5,3,-Infinity
B2,3,166
B5,3,166
B3,3,278
B5,3,278
B4,3,278
B5,3,278
B5,3,141
B5,3,278
A4,2,278
B2,1,278
A5,2,Infinity
A2,2,-Infinity
B2,3,-110
A2,2,-110
B3,3,2
A2,2,2
B4,3,2
A2,2,2
B5,3,2
A2,2,2
A5,2,2
A3,2,Infinity
A2,2,-Infinity
B2,3,-246
A2,2,-246
B3,3,-134
A2,2,-134
B4,3,-134
A2,2,-134
B5,3,-134
A2,2,-134
A3,2,-134
A3,2,Infinity
A2,2,-Infinity
B2,3,-262
A2,2,-262
B3,3,-Infinity
B2,3,-71
B3,3,-71
B3,3,-131
B3,3,-71
B4,3,-Infinity
B2,3,141
B4,3,141
B3,3,81
B4,3,141
B4,3,62
B4,3,141
B5,3,253
B4,3,253
B3,3,253
B5,3,41
B3,3,253
A2,2,253
B4,3,-151
A2,2,253
B5,3,-Infinity
B2,3,-71
B5,3,-71
B3,3,-Infinity
B2,3,141
B3,3,141
B3,3,62
B3,3,141
B4,3,253
B3,3,253
B5,3,82
B3,3,253
B5,3,253
B4,3,40
B5,3,253
B5,3,-131
B5,3,253
A2,2,253
A3,2,253
A3,2,-Infinity
B2,3,-126
A3,2,-126
